class,model,AUC,AUC_CI,Sens,Sens_CI,Spec,Spec_CI,PPV,PPV_CI,NPV,NPV_CI
HIGH,Tuned LightGBM,0.9727668845315903,"(np.float64(0.9303087754462055), np.float64(0.9985046687399126))",0.9788359788359788,"(np.float64(0.9567508813160988), np.float64(0.9949238578680203))",0.9411764705882353,"(np.float64(0.8775420694593626), np.float64(1.0))",0.9840425531914894,"(np.float64(0.9656777810133955), np.float64(1.0))",0.9230769230769231,"(np.float64(0.8421052631578947), np.float64(0.9827659263588544))"
HIGH,Baseline LightGBM,0.98708372237784,"(np.float64(0.9696142790669188), np.float64(0.9983144824323191))",0.9788359788359788,"(np.float64(0.9567508813160988), np.float64(0.9949238578680203))",0.9215686274509803,"(np.float64(0.8431114551083592), np.float64(0.9830579096045198))",0.9788359788359788,"(np.float64(0.9572135012362717), np.float64(0.995))",0.9215686274509803,"(np.float64(0.8392857142857143), np.float64(0.9824637023593465))"
LOW,Tuned LightGBM,0.9874970231007382,"(np.float64(0.973767195607304), np.float64(0.9971261354550339))",0.8421052631578947,"(np.float64(0.65), np.float64(1.0))",0.9773755656108597,"(np.float64(0.9551569506726457), np.float64(0.995475113122172))",0.7619047619047619,"(np.float64(0.5714285714285714), np.float64(0.9411764705882353))",0.9863013698630136,"(np.float64(0.9680365296803652), np.float64(1.0))"
LOW,Baseline LightGBM,0.9827339842819719,"(np.float64(0.9672900311519825), np.float64(0.995496500965251))",0.8947368421052632,"(np.float64(0.7368421052631579), np.float64(1.0))",0.9728506787330317,"(np.float64(0.9502262443438914), np.float64(0.9911894273127754))",0.7391304347826086,"(np.float64(0.56), np.float64(0.9166666666666666))",0.9907834101382489,"(np.float64(0.9766355140186916), np.float64(1.0))"
MODERATE,Tuned LightGBM,0.9140740740740741,"(np.float64(0.8013485559862045), np.float64(0.9830300945881226))",0.6,"(np.float64(0.3333333333333333), np.float64(0.8666666666666667))",0.9777777777777777,"(np.float64(0.9565169925954053), np.float64(0.9955357142857143))",0.6428571428571429,"(np.float64(0.36363636363636365), np.float64(0.8888888888888888))",0.9734513274336283,"(np.float64(0.9511111111111111), np.float64(0.9912663755458515))"
MODERATE,Baseline LightGBM,0.9185185185185186,"(np.float64(0.8157213599280974), np.float64(0.9823017193225293))",0.6,"(np.float64(0.3333333333333333), np.float64(0.8666666666666667))",0.9777777777777777,"(np.float64(0.9565169925954053), np.float64(0.9955357142857143))",0.6428571428571429,"(np.float64(0.36363636363636365), np.float64(0.8888888888888888))",0.9734513274336283,"(np.float64(0.9511111111111111), np.float64(0.9912663755458515))"
NO,Tuned LightGBM,0.9894486942759166,"(np.float64(0.972089996973718), np.float64(1.0))",0.8823529411764706,"(np.float64(0.7058823529411765), np.float64(1.0))",0.9910313901345291,"(np.float64(0.9773755656108597), np.float64(1.0))",0.8823529411764706,"(np.float64(0.7142857142857143), np.float64(1.0))",0.9910313901345291,"(np.float64(0.9773729946524063), np.float64(1.0))"
NO,Baseline LightGBM,0.9889211289897125,"(np.float64(0.9690893000804506), np.float64(0.9999999999999999))",0.7647058823529411,"(np.float64(0.5454545454545454), np.float64(0.9473684210526315))",0.9955156950672646,"(np.float64(0.9862369466875237), np.float64(1.0))",0.9285714285714286,"(np.float64(0.7647058823529411), np.float64(1.0))",0.9823008849557522,"(np.float64(0.9638009049773756), np.float64(0.9956521739130435))"
